id,average_flavor_rating,brand_name,link,number_of_flavors,number_of_reviews,overall_rating,price,price_per_serving,product_category,product_description,product_name,top_flavor_rated,verified_buyer_number,verified_buyer_rating,calories,average_flavor_rating_token,brand_name_token,product_category_token,product_description_token,top_flavor_rated_token,verified_buyer_number_token,verified_buyer_rating_token,combine_token
0,9,evlution nutrition,https://sa.bodybuilding.com/store/evlution-nutrition/bcaa-energy.html?skuId=EVL4230288,29,2575,9,156,5,bcaas,bcaa powder with natural energizers sourced from green coffee and green tea to support focus and recovery,bcaa energy,strawberry,1594,9,Unavailable,9,"evlution,nutrition",bcaas,"bcaa,powder,natural,energizers,sourced,green,coffee,green,tea,support,focus,recovery",strawberry,1594,9,"9 , evlution,nutrition , bcaas , bcaa,powder,natural,energizers,sourced,green,coffee,green,tea,support,focus,recovery , strawberry , 1594 , 9.0"
1,8,optimum nutrition,https://sa.bodybuilding.com/store/opt/whey.html?skuId=OPT302,43,9926,9,451,6,build muscle products,24g of whey protein with amino acids for muscle recovery and growth,gold standard 100 whey,unflavored,3932,9,Unavailable,8,"optimum,nutrition","build,muscle,products","24g,whey,protein,amino,acids,muscle,recovery,growth",unflavored,3932,9,"8 , optimum,nutrition , build,muscle,products , 24g,whey,protein,amino,acids,muscle,recovery,growth , unflavored , 3932 , 9.0"
2,8,jym supplement science,https://sa.bodybuilding.com/store/jym/pre-jym.html?skuId=JYM4910066,9,3947,9,381,13,improve workout products,preworkout powder powerhouse packed with 13hand picked ingredients to support improved workouts,pre jym,lemonade + raspberry,3471,9,Unavailable,8,"jym,supplement,science","improve,workout,products","preworkout,powder,powerhouse,packed,13hand,picked,ingredients,support,improved,workouts","lemonade,raspberry",3471,9,"8 , jym,supplement,science , improve,workout,products , preworkout,powder,powerhouse,packed,13hand,picked,ingredients,support,improved,workouts , lemonade,raspberry , 3471 , 9.0"
3,Unavailable,optimum nutrition,https://sa.bodybuilding.com/store/opt/essential-amino-energy.html?skuId=OPT1900064,Unavailable,2466,9,148,5,amino acids,amino acid powder with caffeine from natural sources,essential amino energy,unflavored,Unavailable,Unavailable,Unavailable,Unavailable,"optimum,nutrition","amino,acids","amino,acid,powder,caffeine,natural,sources",unflavored,Unavailable,Unavailable,"Unavailable , optimum,nutrition , amino,acids , amino,acid,powder,caffeine,natural,sources , unflavored , Unavailable , Unavailable"
4,9,jym supplement science,https://sa.bodybuilding.com/store/jym/pro-jym.html?skuId=JYM5570006,14,2506,9,443,9,whey protein isolate,24g of pure quality protein in every scoop with no added amino acids or filler nutrients,pro jym,cookie,2275,9,150,9,"jym,supplement,science","whey,protein,isolate","24g,pure,quality,protein,every,scoop,added,amino,acids,filler,nutrients",cookie,2275,9,"9 , jym,supplement,science , whey,protein,isolate , 24g,pure,quality,protein,every,scoop,added,amino,acids,filler,nutrients , cookie , 2275 , 9.0"
5,6,muscletech,https://sa.bodybuilding.com/store/muscletech/essential-series-platinum-100-creatine.html?skuId=MT2320202,Unavailable,895,10,59,1,creatine monohydrate,5g of micronized creatine to support lean muscle and increase strength,platinum 100 creatine,unflavored,Unavailable,Unavailable,Unavailable,6,muscletech,"creatine,monohydrate","5g,micronized,creatine,support,lean,muscle,increase,strength",unflavored,Unavailable,Unavailable,"6 , muscletech , creatine,monohydrate , 5g,micronized,creatine,support,lean,muscle,increase,strength , unflavored , Unavailable , Unavailable"
6,6,jym supplement science,https://sa.bodybuilding.com/store/jym/post-jym.html?skuId=JYM4910043,Unavailable,1356,10,236,8,build muscle products,powerful cocktail designed to help boost repair maximize recovery and build muscle,post jym active matrix,unflavored,Unavailable,Unavailable,Unavailable,6,"jym,supplement,science","build,muscle,products","powerful,cocktail,designed,help,boost,repair,maximize,recovery,build,muscle",unflavored,Unavailable,Unavailable,"6 , jym,supplement,science , build,muscle,products , powerful,cocktail,designed,help,boost,repair,maximize,recovery,build,muscle , unflavored , Unavailable , Unavailable"
7,9,evlution nutrition,https://sa.bodybuilding.com/store/evlution-nutrition/engn-shred.html?skuId=EVL4860177,6,1275,9,272,9,betaine anhydrous,advanced preworkout  weight management,engn shred,lemonade,658,9,Unavailable,9,"evlution,nutrition","betaine,anhydrous","advanced,preworkout,weight,management",lemonade,658,9,"9 , evlution,nutrition , betaine,anhydrous , advanced,preworkout,weight,management , lemonade , 658 , 9.0"
8,9,evlution nutrition,https://sa.bodybuilding.com/store/evlution-nutrition/engn.html?skuId=EVL4040237,12,3414,9,233,8,improve workout products,intense preworkout powder for increased energy power  focus,engn,pineapple,1924,9,Unavailable,9,"evlution,nutrition","improve,workout,products","intense,preworkout,powder,increased,energy,power,focus",pineapple,1924,9,"9 , evlution,nutrition , improve,workout,products , intense,preworkout,powder,increased,energy,power,focus , pineapple , 1924 , 9.0"
9,7,bsn,https://sa.bodybuilding.com/store/bsn/synth.html?skuId=BSN158,Unavailable,3920,9,350,7,whey protein,22g of an ultrapremium blended protein formula for use anytime day or night,syntha6,unflavored,Unavailable,Unavailable,200,7,bsn,"whey,protein","22g,ultrapremium,blended,protein,formula,use,anytime,day,night",unflavored,Unavailable,Unavailable,"7 , bsn , whey,protein , 22g,ultrapremium,blended,protein,formula,use,anytime,day,night , unflavored , Unavailable , Unavailable"
